query,answer
Boerhaave syndrome is due to: Answer Choices: A. Burns B. Vomiting C. Stress D. Acid ingestion,B. Vomiting
The primary reason for replacing teeth destroyed due to nursing bottle syndrome is,D. Arch perimeter requirements in the transitional dentition
Pseudoparalysis in an infant is suggestive of ?,D. Vitamin C deficiency
Greater than 30 g of fat is excreted in feces per day. The cause is,A. Exocrine pancreatic insufficiency
"The coronoid process:

Answer Choices:
A. Limits the extension of maxillary posterior teeth setting
B. Limits the thickness of the distobuccal flange of the upper complete denture
C. Limits the thickness of the distobuccal flange of the lower complete denture
D. Determines PPS",C
All of the following are in the superficial perineal space of the male EXCEPT the,C. Bulbourethral gland
"A young girl has had repeated infections with Candida albicans and respiratory viruses since she was 3 months old. As part of the clinical evaluation of her immune status, her responses to routine immunization procedures should be tested. In this evaluation, the use of which of the following vaccines is contraindicated?
Answer Choices:
A. Bacillus Calmette-Guerin (BCG)
B. Bordetella pertussis vaccine
C. Diphtheria toxoid
D. Inactivated polio",A. Bacillus Calmette-Guerin (BCG)
Advantage of Minimal access surgery,C. Improved vision
Pinch purpura is diagnostic of –,A. Systemic primary amyloidosis
Blood for acid base gas (ABG) analysis in a bottle containing heparin can cause decreased value of -,A. pCO2
Gelle's test is done in,A. Otosclerosis
"A 62-year-old man is admitted to the hospital with dull, diffuse abdominal pain. A CT scan reveals a tumor at the head of the pancreas. The abdominal pain is mediated by afferent fibers that travel initially with which of the following nerves?",A. Greater thoracic splanchnic
Sideroblastic anemia is seen in chronic poisoning of,A. Lead
Which rotator cuff muscle is examined by 'Lift off' and 'Belly Press' tests?,C. Subscapularis
The mode of action of Latanoprost in glaucoma: A. Increasing trabecular outflow B. Releasing pupillary block C. Decreasing aqueous humour formation D. Increasing uveoscleral outflow,D. Increasing uveoscleral outflow
Factor responsible for Cardiac Hypertrophy is?,D. TGF beta
Most common cause of gangrene of foot of a 30 year old farmers who is a chronic smoker,C. Thromboangiitis obliterans
More resistance in expiration is due to:,A. Increased compression of airway
"Superior Gluteal Nerve supplies all except:
Answer Choices:
A. Gluteus Minimus
B. Gluteus Medius
C. Gluteus Maximus
D. Tensor Fascia Lata",C. Gluteus Maximus
The major vitamin deficiency in Wernicke's encephalopathy is: Answer Choices: A. B1 B. B2 C. B6 D. B12,A. B1
Anti glaucoma drug that act by increasing uvea scleral outflow is?,A. Latanoprost
"Antihypertensive may act by blocking all of following except:
A. Alpha–adrenoceptors
B. ATP dependent K+ channels
C. Nor adrenaline release
D. Beta adrenoceptors",B. ATP dependent K+ channels
Who among the following has contributed to the development of neuro-otology and is considered as the father of 'neuro-otology'?,C. William F. House
Commonest fungal infection of female genitalia in diabetes?,C. Candida
Placental abnormality related to PPH is?,D. All the above
Drugs causing macular toxicity when given intravitreally- Answer Choices: A. Gentamycin B. Vancomycin C. Dexamethasone D. Ceftazidime,A. Gentamycin
Urination in the human subject is decreased by,D. muscarinic antagonists
What is the amount of time required by erupting premolar to move through 1 mm of bone as measured on a bite-wing radiograph?,B. 4-5 months
More resistance in respiration is due to which of the following? Answer Choices: A. Saturation with moisture B. Increased rate of flow during expiration C. Increased compression of airway D. Due to change from linear to turbulent flow,D. Due to change from linear to turbulent flow
"A male was brought unconscious to the hospital with external injuries. CT shows no midline shift, but basal cisterns were full (compressed) with multiple small haemorrhage. The most probable diagnosis is: Answer Choices: A. Brain contusion B. Diffuse axonal injury C. Subdural hemorrhage D. Multiple infarct",B. Diffuse axonal injury
Unwinding Enzyme in DNA synthesis,A. Helicase
Hemolytic uremic syndrome is caused by,B. Shigella
Intraepidermal IgG deposition is seen in,A. Pemphigus
Liposomal amphotericin B advantage over conventional amphotericin B,A. Lesser nephrotoxicity
Most common pa of larynx involved in Tuberculosis is,B. Posterior
In which of the following patients would enalapril be the best first line agent for high blood pressure control?,D. A 56 year old diabetic woman
An eight-year-old child has active white spot lesions on his teeth and gives a history of having sugar-containing snacks and beverages more than 3 times in between meals. In which category can we classify this child?,A. High Risk
Triplet repeats in Fragile X syndrome is?,B. CGG
The location of Schatzki's ring is,C. Lower end of esophagus
Left Kidney is preferred for transplantation because,A. Longer renal Vein
Apical root fracture in an anterior tooth is treated by:,D. All of the above
Cesarean section is absolutely indicated in :,B. Type IV placenta pre
"In type I hypersensitivity, the mediators is",A. IgE
Dead body recovered from open field - What is the time since death based on findings?,B. 3- 5 days
Northern blot is used for identification of: (Repeat),A. RNA
"A patient of Schizophrenia was started on neuroleptics, his psychotic symptoms began to improve however he developed sadness, would talk less to others, would mostly remain to bed. This presentation could be caused by all of following except:
A. Parkinsonism
B. Major depression
C. Negative symptoms are still persisting
D. He is reacting to external stimuli",D. He is reacting to external stimuli
Which of the following receptors is activated by acetylcholine and blocked by atropine.,B. Muscarinic
"Drug used for Buerger's disease: A. Xanthinol nicotinate, B. Propranolol, C. CCBs, D. All of the above",C
Continuous Renal Replacement Therapy is initiated in which of the following phases of Acute Renal Failure: A. Initiation B. Maintenance C. Diuretic Phase D. Recovery Phase,B. Maintenance
"Identify the adverse effect of clozapine from options: A. Hypertension, B. Sialorrhea, C. Extrapyramidal S/E, D. Neuroleptic malignant syndrome",B. Sialorrhea
Rough and Irregular surface produced on the impression is because of?,B. Air incorporated during mixing
Which artery must be ligated for surgical removal of a mass in the descending colon?,B. Inferior mesenteric artery
who gave the stage of trust versus mistrust,B. erikson
True statement about HIV epidemiology from given options,D
Snowman's heart sign on chest X-ray is seen in - Answer Choices: A. Ebstein anomaly B. Total anomalous pulmonary venous connection (TAPVC) C. Tetrology of Fallot D. Transposition of great vessels,B. Total anomalous pulmonary venous connection (TAPVC)
Polysaccharides are,A. Polymers
True about Mantoux test is -,A
"The cardiac jelly formed around the heart tube during early development, contributes to the formation of:",D. Endocardium
Which of the following statements about Xanthogranulomatous pyelonephritis is not true?,B. Associated with tuberculosis
What is seen in neurogenic shock?,A. Bradycardia and hypotension
Poor prognostic indicator in ALL,C. Presence of testicular involvement at presentation
Mercury affects which part of the kidney - Answer Choices: A. PCT B. DCT C. Collecting duct D. Loop of Henle,A. PCT
Cyanide affects respiratory chain by,D. Non-competitive irreversible inhibition
Vogt Koyanagi Harada syndrome is - Answer Choices: A. Cataract B. C.N.S. tumour C. Uveitis D. Polycystic kidney,C. Uveitis
One primary oocyte forms how many ovum/ova,A. 1
True about nucleosome,C. Regular repeating structure of DNA & histone proteins
The age by which most of the normal babies know their gender is,B. 2 years
Which of the following ultrasound marker is associated with greatest increased risk for Trisomy 21 in fetus?,D. Nuchal edema
Test for tight iliotibial band is,A. Ober's test
The antiepileptic drug effective in Lennox-Gastaut syndrome is:,A. Lamotrigine
"A 64-year-old hypertensive obese female underwent surgery for a femur fracture under general anesthesia. Intraoperatively, her end-tidal CO2 fell from 40 to 20 mmHg, followed by hypotension and an oxygen saturation of 85%. What is the most probable cause?",A
Which of the following is not autosomal dominant?,D. Hutington's chorea
"Ten days after an exploratory laparotomy and lysis of adhesions, a patient with prior low anterior resection for rectal cancer and postoperative chemoradiation has a succus-draining wound. Which factor most likely prevents closure of the enterocutaneous fistula?",A. Previous radiation
Which of the following drugs is taken during the first part of the meal for the purpose of delaying absorption of dietary carbohydrates? Answer Choices: A. Acarbose B. Glipizide C. Metformin D. Exenatide,Acarbose
All are causes of hypertension with hypokalemia except,B. End stage renal disease
First investigation done for abnormal uterine bleeding in reproductive age group is,C. Urine Beta HCG
Which of these need both V and X factors: a) Haemophilus influenzae b) H. ducreyi c) H. paraphrophilus d) H. aegyptius e) H. haemolyticus? Answer choices: A. ade B. bde C. abd D. ad,D. ad
Primary structural defect of an organ is termed -,A. Malformation
Which antibody class is transferred from mother to fetus?,A
Causes of biliary tract carcinoma after ingesting infected fish - Answer Choices: A. Grathostoma B. Angiostrongylus cantonens C. Clonorchis sinensis D. H. Dimunata,C. Clonorchis sinensis
Joint not involved in Rheumatoid arthritis according to 1987 modified ARA criteria?,C. Tarsometatarsal
Non-Inflammatory arthritis is,D. Osteo-arthritis
Hydrocephalus in infant is best diagnosed by,A. USG cranium
"TRUE/FALSE statements about radial nerve: 1. Branch of posterior cord 2. Nerve of extensor compartment of forearm 3. Arise from C5 - T1 4. Anterior interosseous nerve is a branch of it 5. Supply skin of extensor compartment. Answer choices: A. 1,2,3 true & 4,5 false B. 1,2,3,4 true & 5 false C. 1,2,3,5 true & 4 false D. All are true.","C. 1,2,3,5 true & 4 false"
Which is not a common enzyme for glycolysis and gluconeogenesis? Answer Choices: A. Aldolase B. Glucose-6-phosphatase C. Phosphoglycerate mutase D. Phosphoglycerate kinase,B. Glucose-6-phosphatase
Female sterilization is absolutely contraindicated in:,None of the above
Which of the following is the 'Least common' complication of measles- Answer Choices: A. Diarrhoea B. Pneumonia C. Otitis media D. SSPE,D. Oligoaicular ahritis
COX pathway is inhibited by : Answer Choices: A. Aspirin B. Indomethacin C. Diclofenac D. All of these,D
Hepatotoxic agent is -,A. Halothane
In ETC complex-4 is inhibited by all except -,D. BAL
"All of the following syndromes are seen with obesity except:
A. Prader - Willi syndrome
B. Cohen syndrome
C. Laurence Moon - Biedl syndrome
D. Carcinoid syndrome",D. Carcinoid syndrome
Poor prognostic factor in schizophrenia is:,D. Past history of schizophrenia
"Spinal cord in an infant terminates at
Answer Choices:
A. L1
B. L2
C. L3
D. L4",B
"Cauliflower ear is associated with:
A. Otomycosis
B. Hematoma
C. Otosclerosis
D. None of the above",B. Hematoma
True statements regarding epilepsy in pregnancy is: A. Seizure frequency decreases in majority B. Monotherapy is preferred to polydrug therapy C. No increase in incidence of epilepsy in offspring D. Breastfeeding is contraindicated,B. Monotherapy is preferred to polydrug therapy
"Which cranial nerve(s) is/are not involved in ""Locked in syndrome""?","None (all listed cranial nerves IX, X, XI, XII are involved in locked-in syndrome)."
"67 yr male with chronic smoking, hemoptysis, cough, central lung mass, undifferentiated tumor on biopsy. Most useful IHC marker?",B. Parvalbumin
Treatment of hyperkalemia with bradycardia,A. Calcium gluconate
Reason for reducing cases of diphtheria in recent surveillance reports,C. Vaccination
Total lung capacity depends on:,C. Lung compliance
Most common type of germinal cell tumor in testis is?,C. Seminoma
"In human body, methionine is synthesized from ?",D. None
Which of the following decrease sex hormone binding globulin,B. Insulin
Type IV complex of ETC is inhibited by,C. Cyanide
Drug of choice for hyperthyroidism in first trimester of pregnancy,B. Propylthiouraril
60-year-old smoker with painless gross hematuria - most logical investigation,C. USG KUB
What is the common change in cell death associated with both apoptosis and necrosis?,C. Chromatin condensation
Which of the following coagulation factors causes cross-linking and stabilization of clot?,A. Factor XIII
"65M, 4h post-CABG, sudden ↓MAP, elevated JVP. Best next step?",C
"Which Ca has best prognosis: Answer Choices: A. Carcinoma lip, B. Carcinoma cheek, C. Carcinoma tongue, D. Carcinoma palate",A. Carcinoma lip
"A patient on warfarin was given phenobarbitone, the result would have been -",A. Increase the dose of warfarin
True about carotid body receptors?,B. Dopamine is neurotransmitter
Most common malignancy in children is – Answer Choices: A. Leukemia B. Lymphoma C. Wilm's tumor D. Neuroblastoma,A. Leukemia
The first step when doing a pneumonectomy for cancer of the bronchus is to:,A. Ligate the pulmonary vein
Role of carnitine in lipid metabolism,D. Transfer of activated long chain FFA into mitochondria
"4-year-old bites 2-year-old's hand 2 days ago. Now: red, indurated, tender, 39.4°C fever. Most appropriate response?",B
Which of the following drugs is not used for anxiety? Answer Choices: A. Propanolol B. Aiprazolam C. Buspirone D. Haloperidol,D. Haloperidol
"A factory worker presents with excessive salivation, blue lines on gums, tremors, disturbed personality, insomnia, and loss of appetite. The most likely poisoning is -",B. Lead
The adverse effect of clozapine -,B. Sialorrhea
Marcus Gunn pupil is due to -,B. Relative afferent pupillary defect
CAMP reaction is shown by which streptococci?,B. Group B
All of the following antifungal drugs inhibit ergosterol biosynthesis EXCEPT:,C. Amphotericin B
Most common cause of death in criminal abortion is?,B. Sepsis
Most potent statin - Answer Choices: A. Simvastatin B. Pravastatin C. Rosuvastatin D. Simvastatin,C
Cranial part of accessory nerve supplies,D. Levator palatini
Focal lesion in liver is best detected by,A. MRI
Admixed high copper alloy powder contains,C. 9-30% copper
Pectinate line is an important landmark because?,D. All of the above
"5-year-old with recurrent pulmonary disease, fever, chest pain, productive cough. Which microorganism is virtually diagnostic of cystic fibrosis?",D. Pseudomonas sp.
Continues scrutiny of factors that affect the occurence of a disease is -,C. Surveillance
Conduction velocity in AV node 8c SA node-,A. 0.05 meter/sec
"33‑yr‑old male immigrant from Taiwan with RUQ mass, HBV+, AFP↑ – most likely diagnosis?",B. hepatocellular carcinoma (HCC)
A patient presents with LMP 8 weeks ago. She has history of delayed cycles in the past. Which of the following is the most accurate way of dating the pregnancy?,C. Crown-rump length on abdominal or vaginal ultrasound
"Patient with 2 months increased ICP, massive parietal edema, single circumscribed lesion on CT/MRI",D. All of the above
Most common site of tear in Mallory-Weiss syndrome is in,D. Cardia stomach
A lady used to repeatedly wash her hands due to the fear of acquiring AIDS is due to,A. OCD
Finding on histopathological examination in liver in case of malaria is,B. Kupffer's cell hyperplasia with macrophage infiltration around periportal area laden with pigments.
Drug of choice for pneumocystis carinii,A. Cotrimoxazole
Most common bone fracture in body is,A. Radius
Which of the following is true about sickle cell red blood cells?,B. Altered function
Drug treatment for laryngeal stenosis is,B. Mitomycin C
"A 26-year-old man is admitted through the casualty of the hospital for a heroin overdose. His heart rate is 45 beats/min, and his blood pressure is 75/40 mm Hg. Which of the following best depicts the results from an aerial blood sample?","A. pH 7.22, PaCO2 (mm Hg) 66, HCO3- (mEq/L) 26"
"A 24-month-old child with cough and fever for 2 days, weight 11kg, RR 38/min, chest indrawing present. Most appropriate management?",C
"Pathognomic factors involved in foot ulcers in DM include all, Except: A. Trophic ulcers B. Neuropathy C. Microangiopathic changes in blood vessels D. Macroangiopathy",C. Microangiopathic changes in blood vessels
A 40-year-old presenting with dizziness on standing with systolic reduction of BP of 50 mm Hg; appropriate treatment,A. Graded compression stockings
Action of alpha subunit of G-protein is:,C. Breakdown of GTP to GDP
"50-year-old with history of jaundice, now RUQ pain, chronic calculous cholecystitis, normal LFTs, non-dilated CBD on US. Procedure of choice?",A
Which muscle paralysis can cause ‘Winging of scapula’?,A. Serratus anterior
Dentogingival unit comprises of,B. Gingival fibres and junctional epithelium
A characteristic feature of Still's disease -,B. Rashes
40-year-old female with right hypochondriac pain; USG performed; inference?,A. Gall stone
Which of the following is present normally in the urine of a pregnant woman in the third trimester and lactation?,B. Lactose
Which of the following is the most widespread method of genetic transfer among bacteria? Answer Choices: A. Transformation B. Transduction C. Lysogenic conversion D. Conjugation,D. Conjugation
"All of the following are known predisposing factors for Alzheimer's disease except :
A. Down-syndrome
B. Low education level
C. Smoking
D. Female sex",D. Female sex
All are major symptoms of sinusitis except ?,D. Halitosis
A drug given for metoclopramide induced dystonic reaction is:,B. Promethazine
Child presents with linear verrucous plaques on the trunk with vacuolisation of keratinocytes in S. Spinosum and S. Granulosum. Diagnosis is?,A. Incontinenta pigmenti
Best test to detect pneumoperitoneum is:,A. Chest X-ray
"When pulp cannot be extirpated in narrow canals, which of the following can be used?",D. Mummifying agent
"Terry Thomas sign is seen in
Answer Choices:
A. Keinbock's disease
B. Carpal dislocation
C. Calcaneal disorder
D. Hip trauma",B
"Persistent ear pain, discharge, retro‑orbital pain, post‑modified radical mastoidectomy, persistent discharge diagnosis.",C. Petrositis
In the intraepithelial region of the mucosa of intestine the predominant cell population is that of,B. T cell
First indices to change in iron deficiency anemia is -,C. S. Ferritin
Self etching primers,A. Simultaneously etch and prime dentin and enamel
Drainage of venous blood from testes following division of testicular vein for treatment of varicocele is by: March 2009,Cremasteric vein
"A 5-year-old girl is brought to the physician after her parents noticed red blood in her stool. Physical examination reveals mucocutaneous pigmentation. Small bowel radiography discloses multiple, small- to medium-sized polyps that are diagnosed pathologically as hamartomas. Which of the following is the most likely diagnosis?",C. Peutz-Jeghers polyp
The maxillary teeth which have single antagonist are: Answer Choices: A. Lateral incisors B. Permanent canines C. Permanent central incisors D. Third molars,C. Permanent central incisors
"Lyme disease is transmitted by - Answer Choices: A. Rat flea, B. Tick, C. Mite, D. None",B. Tick
Treatment options for fibrous dysplasia patient,D. Conservative surgery
Hyaline in islets of Langerhans resemble -,B. Amyloid
Emphysema aquosum is associated with?,B. Wet drowning
"In Moore's classification of omphalocole (examphalos), type I umbilical defect is less than ________ cm.",2.5 cm
"35-year-old woman on hemodialysis for chronic renal disease with hand pain, normal joint exam, low calcium, high phosphate, high PTH.",C. secondary hyperparathyroidism
Chyluria is due to-,C. Filaria
Which of the following is associated with the disease pathology seen in this child?,C. Glaucoma
Which of the following is true about pathophysiology of skeletal fluorosis?,B. Fluoroappatite crystals are resistant to osteoclasts
"Patient on autocoids for 1 year, severe epigastric pain relieved by antacids, right iliac fossa pain, loss of liver dullness. Diagnosis?",A. Perforation of duodenum
"Upon contact between the sperm head and the zona pellucida, penetration of the sperm into the egg is allowed because of",A. The acrosome reaction
"Fosphenytoin different from phenytoin in which of the following-
Answer Choices:
A. Can be used in absence seizures
B. Can be mixed with saline
C. Can be given orally
D. It is the drug of choice for myoclonic seizures",B. Can be mixed with saline
Macrocytic anemia is seen in all EXCEPT - Answer Choices: A. Vitamin B12 deficiency B. Hemolytic anemia C. Post hemorrhagic anemia D. Anemia of chronic disease,D. Anemia of chronic disease
A person switches from high fat diet to low fat diet with compensatory increase in carbohydrates to maintain the same calories. Which of the following fat component will be increased?,B. VLDL
G-cells are present mostly in-,C. Pyloric antrum
Which of the following includes the contents of the orbit?,D. All of the Above
Most common cause of isolated splenic metastasis is:,C. Carcinoma ovary
Which of the following anticancer drug can cause flagellated dermatitis? A. Cisplatin B. L-asparginase C. Doxorubicin D. Bleomycin,D. Bleomycin
Long thyroid stimulating agent is,B. Antibody to thyroid cell receptors
The commonest cranial nerve involved in acoustic neuroma is:,C. VIII
What are the minimum and maximum possible values of Glasgow Coma Score?,"A. Minimum = 3, Maximum = 15"
Iron is absorbed in: March 2012,D. Duodenum + Jejunum
Falanga is -,B. Beating of feet
Pungent volatile anesthetic agents are: A. Halthane B. Isoflurane C. Sevoflurane D. Desflurane,"B, D (Isoflurane and Desflurane)"
The most ideal explanation for recurrence of odontogenic keratocyst is,C. Presence of satellite cysts or daughter cysts
Which is NOT pyrogenic Interleukin?,C. IL-4
Cognitive model of depression is given by ?,B. Beck
"45-year-old male with severe respiratory distress, pedal edema, bilateral crepitation, died 2 days after admission. Lung biopsy shows ?. Diagnosis?",D. Heart failure cells
Which of the following diseases of the skin is the most likely to be associated with partial anodontia? Answer Choices: A. erythema multiformae B. hereditary ectodermal dysplasia C. keratosis follicularits D. lichen Onus,B. hereditary ectodermal dysplasia
Superficial inguinal lymph nodes drain from all of the following except: A. Urethra B. Anal canal below the pectinate line C. Glans penis D. Perineum,C. Glans penis
Pulse pressure in severe aortic regurgitation is equal to-,D. 75-90 mm Hg
Early neonatal sepsis occurs within (hours) - Answer Choices: A. 8 B. 12 C. 36 D. 72,D. 72
All the following are features of Tropical pulmonary eosinophilia except,B. Microfilaria in blood
Which of the following local anesthetics is naturally occurring?,A. Cocaine
Fertilization occurs in which part of the fallopian tube,A. Ampulla
Cylindrical dilatation of renal tubules is seen in - Answer Choices: A. Polycystic disease of kidney B. Medullary cystic disease C. Wilms tumour D. Lipoid nephrosis,B. Medullary cystic disease
6 cm simple ovarian cyst identified in late pregnancy - best management?,D. Conservative as most tumors would subside
The dangerous particle size causing pneumoconiosis varies from ?,D. 1-5 m
Which of the following structures is least likely to be damaged during mandibular 3rd molar extraction?,A. Lingual artery
Cribriform plate fracture with CSF rhinorrhea: immediate treatment?,D. Antibiotics with wait for 7 days
Periodontal pack is least successful in the management of?,A. Splinting
Nitrates are not used in -,D. Cyanide poisoning
Kussumauls breathing,D. Metabolic acidosis
Natural uncoupler is-,A. Thermogenin
Dislocation of lens is seen in:,C. Homocystinuria
"""Bird of Prey"" sign is seen in the radiographic barium examination of:",A. Gastric volvulus
"A decrease in which of the following parameters will shift the O2 dissociation curve to the right? Answer Choices: A. pH B. Paial pressure of CO2 C. 2,3 DPG concentration D. Temperature",A. pH
Lancinating pain around the tonsils during eating is indicative of,B. Glossopharyngeal neuralgia
Aganglionic segment is encountered in which part of colon in case of Hirschsprung's disease?,A. Distal to dilated segment
Drug with membrane stabilizing activity is? Answer Choices: A. Nadolol B. Atenolol C. Carvedilol D. Oxprenolol,D. Oxprenolol
Cause of 'bloody' vomitus in a neonate,C. Malrotation
"A 60 yr old female with I-1/0 8 blood transfusion in 2 years. Her Hb- 60g/L, TLC-5800, platelet-3.4 lakhs, MCV 60, RBC-2.1 lakhs/mm3. He is having hypochromic microcytic anemia. Which investigation is not needed aEUR' Answer Choices: A. Evaluation for pulmonary hemosiderosis B. Urinary hemosiderin C. Bone marrow examination D. G I endoscopy",C. Bone marrow examination
"Which symptom is NOT seen in alcohol withdrawal? Options: A. Seizure, B. Blackout, C. Coarse tremor, D. Hallucination",B. Blackout
Venous congestion of liver affects ?,C. Centrilobular zone
Which of the following statement is/are true of all paramyxoviruses -a) They contain a single standed RNA genome of negative polarityb) Envelope is derived from the host cells plasma membranec) They have a cytoplasmic site of replicationd) They enter the body by the respiratory route Answer Choices: A. acd B. abcd C. abc D. ab,C. abc
How does the distal nephron differ functionally from the proximal tubule?,A. The distal nephron has a more negative intraluminal potential than the proximal tubule.
Which is the commonest abdominal mass in neonate - Answer Choices: A. Wilm's tumor B. Polycystic kidney C. Neuroblastoma D. Rhabdomyosarcoma,B. Polycystic kidney
Vaccines prepared by embryonated hen's egg are: A. Measles B. Rabies C. Rubella D. Varicella,A. Measles
Lamivudine is given when?,"C, D"
"Which of the following amino acids is most responsible for the buffering capacity of hemoglobin and other proteins? Answer Choices: A. Arginine, B. Aspartic acid, C. Glutamic acid, D. Histidine",D. Histidine
A patient gets tingling when his bed light is flashed suddenly. Which type of hallucination is this?,C. Reflex hallucinations
"Which of the following is NOT associated with elevation of the right hemi-diaphragm: A. Amebic abscess, B. Pyogenic abscess, C. Cholecystitis, D. Sub diaphragmatic abscess",C. Prostatic intraepithelial neoplasm
"Which of the following techniques use piezoelectric crystals - Answer Choices: A. Ultrasonography, B. X-ray diffraction, C. NMR imaging, D. Xeroradiography",A. Ultrasonography
"The parietal peritoneum covering the inferior surface of the diaphragm transits its sensory information via the phrenic nerve. In the case of peritonitis in the parietal peritoneum on the inferior surface of the diaphragm, pain may be referred through which of the following nerves?",D. D
Operation of choice in GERD is,Fundoplication
All of the following drugs are useful in the treatment of a patient with acute bronchial asthma except,C. Montelukast
Mydriasis is/are caused by: Answer Choices: A. Homer syndrome B. Neurosyphilis C. Organophosphorus poisoning D. Atropine,D. Atropine
In emergency tracheostomy following structures are damaged except: A. Isthmus of thyroid B. Inferior thyroid vein C. Inferior thyroid artery D. Thyroid ima,C. Inferior thyroid aery
Which of the following is the best test to diagnose bleeding in DIC?,D. Increased fibrin degradation products
Non immunized susceptible diphtheria contacts should receive:,"C. Penicillin, diphtheria antitoxin and DPT vaccine"
Intrinsic factor is required for absorption of ?,Vitamin B12
"After a normal prenatal period, a lady developed sudden HTN and bleeding from all places. Diagnosis is:",A. DIC
Chlorhexidine as a root canal irrigant is,D. All of the above
Most common complication of acute pancreatitis is -,D. Pleural effusion
Initial stage of clinical union of bone is equivalent to,B. Woven bone Formation
"Marble bone disease, characterized by increase in bone density is due to mutation in the gene encoding:",Carbonic Anhydrase II
Desks provided with table top to prevent neck problems in an example of,C. Specific protection
Inferior border of scapula lies at the level of which rib?,C. 7th
"Two-year-old child with persistent diarrhea, acidic stools, and 1% reducing substances in fresh stools. Most probable diagnosis?",B. Lactose intolerance
Drug of choice for mycoplasma pneumonia is,D. Erythromycin
Glutamine synthetase is a - (A) Isomerase (B) Ligase (C) Lyase (D) Transferase,B. Ligase
"A 6-year-old female patient with a decayed lower right 2nd molar becomes uncooperative and throws a tantrum. The dentist asks the mother to step out, after which the child cooperates. Which type of conditioning, as described by Skinner, does this illustrate?",C. Omission
Von Willebrand's factor is synthesized in which one of the following?,A. Vascular endothelium
"All are alkylating agents, except ?",A. 5-FU
The most common causative organism for external otitis in adults is:,C. Pseudomonas aeruginosa
The most important prognostic factor in breast carcinoma is,B. Stage of the tumor at the time of diagnosis
A 23-year-old professional footballer suffers a twisting injury to his right ankle. On examination there is a lot of swelling around the medial malleolus but xray doesn't show any fracture. The structure injured could be -,A. Deltoid Ligament
Insulin is secreted along with the following molecule in a 1:1 ratio: A. Pancreatic polypeptide B. Glucagon C. GLP-1 D. C-peptide,D. C- peptide
All are the causes of neovascular glaucoma except: A. Intraocular tumour B. Central retinal vein occlusion C. Diabetic retinopathy D. Central serous retinopathy,D. Central serous retinopathy
Copper sulfate poisoning manifests with,C. Acute hemolysis
Which of the following is associated with > 20% risk of chromosomal anomalies? Answer Choices: A. Omphalocele B. Gastroschisis C. Cleft lip D. Spina bifida,A. Rhabdovirus
Multiple myeloma most common part involved is-,A. Bone marrow
Persistence of Moro's reflex is abnormal beyond the age of – Answer Choices: A. 3rd month B. 4th month C. 5th month D. 6th month,D. 6th month
Which of the following enzyme is associated with the conversion of androgen to oestrogen in a growing ovarian follicle is: A. Aromatase B. 5 alpha reductase C. Desmolase D. Isomerase,A. Aromatase
"Gas gangrene is caused by all except
Answer Choices:
A. Cl. Histolyticum
B. Cl. novyi
C. Cl. septicum
D. Cl. Sporogenes",D. Cl. Sporogenes
"60 yrs old, air in biliary tree, colicky abdominal pain hyper-peristaltic abdominal sounds diagnosis - Answer Choices: A. Gall stone ileus B. Hemobilia C. Cholangitis D. Pneumobilia",A. Gall stone ileus
"All of the following may occur in Noonan syndrome except:
A. Hypertrophic cardiomyopathy
B. Cryptorchidism
C. Infertility in females
D. Autosomal dominant transmission",C. Infertility in females
Absence seizures are seen in: A. Grand mal epilepsy B. Myoclonic epilepsy C. Petitmal epilepsy D. Hyperkinetic child,C. Petitmal epilepsy
Ergometrine is not used for initiation of labour because -,C. Increases blood pressure
"Which of the following enzymes contain manganese as its cofactor? Answer Choices: A. LDH, B. Arginase, C. Hexokinase, D. DNA polymerase",B. Arginase
"The term applied when it is doubtful whether there will be space for all the teeth in mixed dentition analysis is:
Answer Choices:
A. Space maintenance
B. Space regaining
C. Space supervision
D. None of the above",C. Space supervision
"60M with unstable angina, ongoing chest pain despite LMWH/aspirin/NTG/BB, new ST depression V1-V4 - most appropriate next step?",B. coronary angiography
Which of the following manifestations is not a clinical manifestation of parvovirus infection?,D. Tropical sprue
Which one of the following statements about the gap junction is true?,C. It permits the passage of ions from one cell to an adjacent cell.
Constriction of the afferent arteriole to the kidney glomerulus results in:,A. Reduction of glomerular filtration rate and decreased urinary output
"The virus, which spreads by both hermatogenous and neural route is -",B. Varicella zoster virus
The esophagus crosses the diaphragm at the level of: Answer Choices: A. T8 B. T9 C. T10 D. T11,C. T10
Reinsch test is used in diagnosis of poisoning due to: UP 11; COMEDK 12,A. Arsenic
The muscle responsible for falsetto voice of puber phonia is,D. Cricothyroid
Drug of choice for absence seizures: March 2011,C. Valproate
Groove sign is seen in – Answer Choices: A. Donovanosis B. LGV C. Chancroid D. Genital herpes,B. LGV
The lack of ability of an individual to do his routine activity is -,C. Disability
"Actions of Bradykinin include all of the following, EXCEPT:
A. Vasodilatation
B. Bronchodilatation
C. Increased vascular permeability
D. Pain",B. Bronchodilatation
Maximum regenerative capacity is of?,A. Liver cells
Least common cause of pericarditis/pericardial effusion in children,B. Sarcoidosis
Drugs used for anaesthesia in hypotensive is,B. Ketamine
Syncytium formation is a property of ?,C. Measles virus
"Determine the most likely diagnosis in a child with periorbital edema, generalized edema, foamy urine, proteinuria 55 mg/h/m2, normal BUN/creatinine.",D. Nephrotic syndrome
